episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
1,17,loss,17,-65.50,0,7,0.9997,0,0.000000
2,32,loss,15,-64.00,0,7,0.9994,0,0.000000
3,53,loss,21,-68.50,0,8,0.9990,0,0.000000
4,68,loss,15,-65.50,0,7,0.9987,0,3.298670
5,90,loss,22,-67.50,0,8,0.9983,0,3.571424
6,110,loss,20,-69.50,0,8,0.9979,0,2.833039
7,127,loss,17,-65.50,0,7,0.9976,0,2.735937
8,154,loss,27,-70.50,0,8,0.9971,0,2.964742
9,173,loss,19,-68.00,0,8,0.9967,0,2.635234
10,187,loss,14,-65.00,0,7,0.9964,0,2.268729
11,204,loss,17,-63.00,0,7,0.9961,0,3.776106
12,233,loss,29,-74.00,0,8,0.9956,0,3.128695
13,252,loss,19,-65.50,0,7,0.9952,0,2.444066
14,273,loss,21,-70.00,0,8,0.9948,0,2.929453
15,300,loss,27,-72.00,0,8,0.9943,0,2.725111
16,322,loss,22,-67.50,0,7,0.9939,0,2.603217
17,337,loss,15,-67.00,0,8,0.9936,0,3.028810
18,361,loss,24,-71.50,0,8,0.9931,0,2.666807
19,383,loss,22,-69.00,0,7,0.9927,0,2.362959
20,400,loss,17,-68.00,0,8,0.9924,0,2.775177
21,421,loss,21,-68.50,0,7,0.9920,0,2.572857
22,437,loss,16,-62.50,0,7,0.9917,0,2.830952
23,456,loss,19,-69.00,0,8,0.9913,0,2.012025
24,469,loss,13,-64.50,0,7,0.9911,0,2.207292
25,504,loss,35,-74.00,0,7,0.9904,0,2.718332
26,533,loss,29,-71.50,0,8,0.9899,0,2.861412
27,549,loss,16,-63.50,0,7,0.9896,0,2.911487
28,566,loss,17,-68.00,0,8,0.9892,0,3.012361
29,587,loss,21,-68.50,0,7,0.9888,0,2.917337
30,616,loss,29,-71.00,0,7,0.9883,0,2.455887
31,642,loss,26,-69.50,0,8,0.9878,0,2.736072
32,659,loss,17,-66.50,0,7,0.9875,0,2.596363
33,700,loss,41,-76.50,0,7,0.9867,0,2.704182
