episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
1,258,loss,258,-0.95,0,13,0.9969,0,0.015023
2,451,loss,193,-0.75,0,12,0.9946,0,0.016681
3,586,loss,135,-1.33,0,12,0.9930,0,0.017028
4,886,timeout,300,1.00,10,3,0.9895,0,0.016421
5,918,loss,32,-1.23,0,12,0.9891,0,0.014118
6,1218,timeout,300,1.27,6,7,0.9855,0,0.014897
7,1341,loss,123,-1.19,0,12,0.9841,0,0.014611
8,1537,win,196,2.10,13,0,0.9817,0,0.014812
9,1803,loss,266,-0.79,0,13,0.9786,0,0.014006
10,2048,win,245,1.90,13,0,0.9757,0,0.013718
11,2149,loss,101,-0.75,0,13,0.9745,0,0.014765
12,2449,timeout,300,1.25,9,4,0.9709,0,0.014309
13,2655,loss,206,-0.72,0,13,0.9685,0,0.013676
14,2724,loss,69,-1.04,0,12,0.9677,0,0.013788
15,3024,timeout,300,1.02,12,1,0.9641,0,0.013665
16,3169,loss,145,-0.63,0,13,0.9624,0,0.012999
17,3469,timeout,300,1.07,10,3,0.9588,0,0.013494
18,3695,win,226,2.11,13,0,0.9561,0,0.012766
19,3995,timeout,300,1.47,10,3,0.9526,0,0.012632
20,4079,loss,84,-0.98,0,12,0.9516,0,0.012974
21,4302,loss,223,-0.89,0,13,0.9489,0,0.012068
22,4602,timeout,300,0.75,9,4,0.9454,0,0.011993
23,4902,timeout,300,1.05,9,4,0.9418,0,0.011866
24,5166,win,264,1.61,13,0,0.9387,0,0.011524
25,5339,win,173,1.84,13,0,0.9366,0,0.011240
26,5533,loss,194,-1.08,0,13,0.9343,0,0.010977
27,5704,win,171,1.91,13,0,0.9323,0,0.010776
28,5820,loss,116,-1.17,0,12,0.9309,0,0.011085
29,6120,timeout,300,0.55,9,4,0.9273,0,0.010638
30,6358,loss,238,-0.28,0,13,0.9245,0,0.010384
31,6658,timeout,300,0.47,8,5,0.9209,0,0.010828
32,6958,timeout,300,0.97,4,9,0.9174,0,0.010389
33,7256,win,298,2.17,13,0,0.9138,0,0.010011
34,7411,loss,155,-0.80,0,12,0.9120,0,0.010423
35,7711,timeout,300,0.75,9,3,0.9084,0,0.009927
36,7742,loss,31,-1.16,0,11,0.9081,0,0.010295
37,8042,timeout,300,1.12,8,4,0.9045,0,0.009899
38,8148,loss,106,-1.10,0,12,0.9032,0,0.009988
39,8448,timeout,300,1.22,7,6,0.8997,0,0.010012
40,8513,loss,65,-1.19,0,12,0.8989,0,0.010266
41,8714,loss,201,-0.73,0,13,0.8965,0,0.009698
42,9014,timeout,300,1.12,10,3,0.8930,0,0.011047
43,9314,timeout,300,0.82,11,2,0.8894,0,0.010209
44,9487,loss,173,-1.06,0,12,0.8873,0,0.010334
45,9590,loss,103,-0.80,0,12,0.8861,0,0.010420
46,9793,win,203,2.05,12,0,0.8837,0,0.011167
