# run_timestamp,20260509_031008
# total_steps,10000
# learning_rate,0.00025
# gamma,0.95
# tau,0.01
# eps_decay,50000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_steps,300
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
1,300,timeout,300,-34.00,6,6,0.9943,0,0.058048
2,600,timeout,300,-25.50,6,6,0.9886,0,0.040084
3,900,timeout,300,-36.00,5,7,0.9829,0,0.039662
4,1200,timeout,300,-32.50,6,6,0.9772,0,0.040996
5,1500,timeout,300,-35.00,5,7,0.9715,0,0.036678
6,1800,timeout,300,-42.00,4,8,0.9658,0,0.036156
7,2100,timeout,300,-34.00,6,6,0.9601,0,0.037233
8,2400,timeout,300,-34.50,6,6,0.9544,0,0.039638
9,2700,timeout,300,-34.50,5,7,0.9487,0,0.045923
10,3000,timeout,300,-36.00,5,7,0.9430,0,0.043540
11,3300,timeout,300,-37.00,6,6,0.9373,0,0.042247
12,3600,timeout,300,-28.00,6,6,0.9316,0,0.047817
13,3900,timeout,300,-34.50,5,7,0.9259,0,0.041007
14,4200,timeout,300,-43.50,3,9,0.9202,0,0.040628
15,4500,timeout,300,-33.50,6,6,0.9145,0,0.040490
16,4800,timeout,300,-31.50,5,7,0.9088,0,0.044913
17,5100,timeout,300,-34.00,5,7,0.9031,0,0.042767
18,5400,timeout,300,-33.00,5,7,0.8974,0,0.042222
19,5700,timeout,300,-8.50,8,4,0.8917,0,0.042539
20,6000,timeout,300,-41.00,3,9,0.8860,0,0.045837
21,6300,timeout,300,-30.00,5,7,0.8803,0,0.043384
22,6600,timeout,300,-30.00,6,6,0.8746,0,0.047526
23,6900,timeout,300,-31.00,5,7,0.8689,0,0.049028
24,7200,timeout,300,-32.00,5,7,0.8632,0,0.048011
25,7500,timeout,300,-37.50,4,8,0.8575,0,0.050114
26,7800,timeout,300,-37.00,5,7,0.8518,0,0.047882
27,8100,timeout,300,-39.00,4,8,0.8461,0,0.045137
28,8400,timeout,300,-29.50,5,7,0.8404,0,0.050622
29,8700,timeout,300,-36.00,4,8,0.8347,0,0.050873
30,9000,timeout,300,-34.50,4,8,0.8290,0,0.050834
31,9300,timeout,300,-30.00,6,6,0.8233,0,0.043491
32,9600,timeout,300,-31.00,5,7,0.8176,0,0.045260
33,9900,timeout,300,-24.50,5,7,0.8119,0,0.042372
