# run_timestamp,20260509_051936
# total_steps,10000
# learning_rate,0.00025
# gamma,0.95
# tau,0.01
# eps_decay,50000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,30
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,152,timeout,152,30,-31.88,7,6,0.9971,0,0.331291,59,55,92,30,30,5,14,6,26,"NA:N,SA:A",0E1|1E1|2E1|3E12|4E20|5A17|6E20|7A2|8A20|9A1|10A8|11A5|12A6
2,302,timeout,150,30,-33.50,5,7,0.9943,0,0.276859,52,58,90,30,30,2,15,5,27,"NA:N,SA:N",0A4|1A5|2A3|3E1|4E20|5A20|6E17|7A20|8E9|9E4|10E4|11N1|12E3
3,452,timeout,150,30,-23.00,5,7,0.9914,0,0.222950,56,58,90,30,30,0,15,2,27,"NA:N,SA:N",0E3|1A14|2A20|3E17|4A14|5A1|6E20|7A7|8E9|9E3|10E3|11N1|12E3
4,602,timeout,150,30,-34.00,4,8,0.9886,0,0.207988,56,54,90,30,30,1,14,5,25,"NA:N,SA:N",0E1|1E3|2A14|3E12|4A9|5A20|6E20|7A13|8E9|9E3|10E3|11N1|12E3
5,752,timeout,150,30,-32.00,5,7,0.9857,0,0.208811,55,51,90,30,30,1,19,4,27,"NA:N,SA:N",0A6|1E3|2A4|3E1|4E3|5A20|6E16|7A14|8A11|9E20|10E4|11N1|12E4
6,902,timeout,150,30,-28.00,5,7,0.9829,0,0.191237,54,54,90,30,30,0,19,3,28,"NA:N,SA:N",0E9|1A12|2A15|3E20|4A2|5A5|6E13|7A20|8E1|9E4|10E3|11N1|12E4
7,1052,timeout,150,30,-20.50,6,6,0.9800,0,0.164283,59,52,90,30,30,0,14,2,24,"NA:N,SA:N",0A8|1A1|2A18|3E5|4A19|5A3|6E17|7A10|8E15|9E5|10E5|11N1|12E5
8,1192,timeout,140,30,-47.60,2,10,0.9774,0,0.171102,38,62,80,30,30,0,19,6,15,"NA:N,SA:N",0E1|1E6|2E1|3E1|4E19|5A19|6A19|7E20|8E8|9E1|10E2|11N1|12E3
9,1342,timeout,150,30,-22.50,6,6,0.9745,0,0.177555,62,43,90,30,30,1,18,2,24,"NA:N,SA:N",0A2|1A17|2A10|3E13|4A20|5A1|6E15|7A12|8E4|9E3|10E4|11N1|12E4
10,1492,timeout,150,30,-21.00,7,5,0.9717,0,0.183794,63,50,90,30,30,3,13,3,26,"NA:N,SA:N",0E8|1A18|2A10|3E20|4A1|5A14|6E19|7A5|8A11|9A4|10E1|11N1|12E2
11,1642,timeout,150,30,-22.00,6,6,0.9688,0,0.157440,63,50,90,30,30,1,15,3,27,"NA:N,SA:N",0E1|1A5|2A3|3A1|4A15|5A19|6E20|7A20|8E20|9E3|10E3|11N1|12E3
