# run_timestamp,20260509_074328
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,60
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,300,timeout,300,60,-77.72,7,5,0.9858,0,0.257683,102,84,180,60,60,0,38,1,53,"NA:N,SA:N",0A20|1A5|2A17|3A20|4A5|5A20|6E18|7A15|8E20|9E15|10E15|11N1|12E16
2,600,timeout,300,60,-74.11,5,7,0.9715,0,0.206318,90,84,180,60,60,2,45,5,49,"NA:N,SA:N",0E9|1A16|2A14|3E10|4E20|5A20|6E20|7A20|8A20|9E19|10E3|11N1|12E3
3,899,timeout,299,60,-51.92,5,7,0.9573,0,0.214185,97,74,177,62,60,2,47,4,53,"NA:N,SA:N",0A19|1A20|2A20|3E19|4E20|5A20|6E14|7A18|8E13|9E2|10E3|11N1|12E3
4,1199,timeout,300,60,-94.77,6,6,0.9430,0,0.226789,98,93,180,60,60,1,40,3,57,"NA:N,SA:N",0E20|1A16|2A3|3E20|4A20|5A20|6A19|7A20|8E20|9E11|10E11|11N1|12E11
5,1485,timeout,286,60,-72.42,4,8,0.9295,0,0.347769,77,93,166,60,60,3,39,7,52,"NA:N,SA:N",0E11|1A19|2A18|3E13|4E20|5A20|6E20|7A20|8E20|9E3|10E3|11N1|12E3
6,1785,timeout,300,60,-87.28,6,6,0.9152,0,0.219791,92,92,180,60,60,5,39,7,53,"NA:N,SA:N",0A12|1A13|2A20|3E20|4A20|5A20|6E20|7A7|8E20|9E10|10E11|11N1|12E11
7,2099,timeout,314,60,-99.90,4,8,0.9003,0,0.228524,76,110,189,65,60,0,48,2,57,"NA:N,SA:N",0E5|1E19|2A19|3E20|4A17|5A20|6E20|7A20|8E20|9E9|10E9|11N1|12E8
8,2399,timeout,300,60,-95.53,6,6,0.8860,0,0.213717,93,98,180,60,60,2,40,5,56,"NA:N,SA:N",0A19|1A7|2A9|3E19|4A18|5A20|6E20|7A20|8E20|9E13|10E13|11N1|12E13
9,2699,timeout,300,60,-78.82,5,7,0.8718,0,0.222957,92,81,180,60,60,4,44,7,57,"NA:N,SA:N",0E1|1E14|2A20|3E17|4A18|5A18|6E20|7A16|8A20|9E20|10E5|11N1|12E4
10,2999,timeout,300,60,-65.91,6,6,0.8575,0,0.217241,100,85,180,60,60,0,39,2,56,"NA:N,SA:N",0A14|1A19|2A15|3E20|4A20|5A20|6E20|7A12|8E20|9E8|10E9|11N1|12E8
11,3299,timeout,300,60,-82.27,5,7,0.8433,0,0.235726,89,91,180,60,60,3,42,6,54,"NA:N,SA:N",0A20|1A11|2A18|3E18|4E20|5A20|6E19|7A20|8E20|9E4|10E5|11N1|12E5
12,3599,timeout,300,60,-66.79,6,6,0.8290,0,0.236168,95,85,180,60,60,3,41,5,56,"NA:N,SA:N",0A19|1E19|2A20|3A10|4A8|5A18|6E20|7A20|8E20|9E9|10E9|11N1|12E8
13,3903,timeout,304,60,-92.72,5,7,0.8146,0,0.250022,88,94,183,61,60,2,43,5,53,"NA:N,SA:N",0E8|1A12|2A20|3E20|4A20|5A16|6E20|7A20|8E20|9E8|10E9|11N1|12E9
14,4203,timeout,300,60,-71.60,6,6,0.8004,0,0.247631,107,87,180,60,60,6,38,9,53,"NA:N,SA:N",0A20|1A16|2A15|3A16|4E20|5A20|6E20|7A20|8E20|9E9|10E9|11N1|12E9
15,4499,timeout,296,60,-76.96,4,8,0.7863,0,0.246221,79,96,175,61,60,1,43,4,56,"NA:N,SA:N",0E2|1E19|2A20|3E20|4A19|5A20|6E20|7A20|8E20|9E5|10E5|11N1|12E5
16,4799,timeout,300,60,-93.24,6,6,0.7720,0,0.238117,102,79,180,60,60,2,43,4,54,"NA:N,SA:N",0A20|1A19|2A20|3A17|4E19|5A6|6E20|7A20|8E20|9E7|10E7|11N1|12E6
17,5099,timeout,300,60,-74.58,6,6,0.7578,0,0.245315,90,89,180,60,60,4,44,5,54,"NA:N,SA:N",0A20|1A1|2A17|3A14|4E20|5A18|6E20|7A20|8E20|9E10|10E10|11N1|12E9
18,5399,timeout,300,60,-61.91,6,6,0.7435,0,0.236260,97,78,180,60,60,2,45,4,55,"NA:N,SA:N",0A16|1A20|2A20|3E19|4A14|5A7|6E20|7A20|8E20|9E7|10E6|11N1|12E6
19,5699,timeout,300,60,-80.10,6,6,0.7293,0,0.249881,101,77,180,60,60,4,42,5,55,"NA:N,SA:N",0A18|1E18|2A20|3A11|4E20|5A20|6E18|7A12|8A20|9E17|10E2|11N1|12E2
20,5999,timeout,300,60,-88.50,5,7,0.7150,0,0.260520,84,104,180,60,60,3,40,5,60,"NA:N,SA:N",0E19|1A17|2A16|3E20|4A20|5A11|6E20|7A20|8E20|9E9|10E8|11N1|12E8
21,6299,timeout,300,60,-150.88,6,6,0.7008,0,0.274649,94,86,180,60,60,1,46,3,56,"NA:N,SA:N",0A19|1E19|2A20|3A20|4E20|5A14|6A20|7E20|8A1|9E16|10E5|11N1|12E6
