# run_timestamp,20260509_133737
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,500000
# grad_clip,1.0
# batch_size,64
# replay_capacity,500000
# beginner_max_turns,300
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,1129,loss,1129,275,760.89,0,12,0.9979,0,1.151592,0,44,436,562,131,47,364,53,110,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E6|5E2|6E1|7E10|8E3|9E9|10E4|11N1|12E5
2,2293,timeout,1164,300,520.14,5,8,0.9956,0,1.305439,97,52,510,504,150,29,316,34,139,"NA:N,SA:A",0E2|1E3|2E3|3E3|4E2|5E2|6E17|7E20|8A17|9A20|10A20|11A20|12A20
3,3403,timeout,1110,300,446.30,9,3,0.9935,0,1.039251,179,59,554,406,150,18,230,18,140,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E19|10E20|11N1|12E20
4,4610,timeout,1207,300,643.17,1,12,0.9912,0,0.955605,14,97,484,576,147,39,376,46,127,"NA:E,SA:N",0E5|1E5|2E5|3E5|4E7|5E5|6E6|7E6|8E5|9E10|10E18|11E20|12A14
5,5165,loss,555,122,133.95,0,13,0.9902,0,0.937572,0,164,221,286,48,13,190,21,43,"NA:E,SA:E",0E12|1E12|2E12|3E11|4E12|5E12|6E11|7E11|8E11|9E17|10E20|11E3|12E20
6,5994,loss,829,197,490.39,0,13,0.9886,0,0.973536,0,82,326,410,93,32,264,41,85,"NA:E,SA:E",0E2|1E3|2E3|3E2|4E5|5E2|6E3|7E7|8E4|9E14|10E18|11E3|12E16
7,6617,win,623,113,302.53,13,0,0.9874,0,0.984091,234,0,383,184,56,4,113,1,52,"NA:A,SA:A",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A17|9A3|10A16|11A18|12A20
8,8098,timeout,1481,300,55.91,1,12,0.9846,0,0.928500,20,238,683,745,53,9,480,17,37,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E18|11E20|12A20
9,9368,timeout,1270,300,845.80,10,3,0.9822,0,0.890400,153,25,571,549,150,44,346,44,138,"NA:A,SA:N",0A20|1A20|2A15|3A20|4A8|5A20|6A15|7A20|8A14|9E5|10E7|11A1|12E13
10,10526,timeout,1158,300,729.48,9,3,0.9800,0,0.854638,180,33,542,466,150,35,272,34,141,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9E19|10E8|11N1|12E6
11,11683,timeout,1157,300,738.47,6,6,0.9778,0,0.886853,25,35,475,532,150,41,333,43,143,"NA:N,SA:N",0E3|1A12|2A1|3E10|4A7|5A2|6A2|7A1|8E6|9E10|10E3|11N1|12E3
12,12469,loss,786,193,530.76,0,12,0.9763,0,0.898141,0,31,310,387,89,33,242,41,75,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E2|5E4|6E2|7E5|8E3|9E7|10E1|11N1|12E3
13,13656,timeout,1187,300,562.17,1,12,0.9741,0,0.915023,5,71,480,560,147,35,364,43,132,"NA:E,SA:N",0E1|1E0|2E1|3E3|4E1|5E3|6E2|7E1|8E3|9E18|10E19|11A5|12E19
14,14664,win,1008,203,509.18,13,0,0.9721,0,0.887044,159,0,506,401,101,19,268,18,94,"NA:A,SA:A",0A2|1A1|2A14|3A3|4A17|5A10|6A18|7A1|8A13|9A20|10A20|11A20|12A20
15,15847,timeout,1183,300,901.03,6,6,0.9699,0,0.898708,18,30,450,583,150,51,375,53,130,"NA:N,SA:N",0E1|1E8|2A2|3E9|4A11|5A2|6A1|7A1|8A1|9E6|10E3|11N1|12E3
16,17028,timeout,1181,300,468.31,9,3,0.9676,0,0.914794,178,39,582,449,150,20,271,20,145,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E19|10E10|11N1|12E10
17,18098,loss,1070,262,439.70,0,13,0.9656,0,0.915153,0,175,423,527,120,30,346,39,97,"NA:E,SA:E",0E13|1E12|2E13|3E13|4E12|5E13|6E13|7E12|8E14|9E17|10E20|11E3|12E20
18,18948,timeout,850,300,188.80,4,9,0.9640,0,0.909355,78,179,371,330,149,8,163,13,126,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E19|9A18|10A20|11A20|12A20
19,19755,loss,807,196,364.27,0,13,0.9625,0,0.883968,0,88,322,390,95,25,254,35,83,"NA:E,SA:E",0E2|1E2|2E2|3E2|4E6|5E3|6E3|7E3|8E15|9E12|10E20|11E3|12E15
20,20751,loss,996,221,1.56,0,13,0.9606,0,0.859546,0,240,441,502,53,6,319,15,45,"NA:E,SA:E",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E17|11E20|12E3
21,21923,timeout,1172,300,766.52,4,9,0.9583,0,0.860171,80,80,484,538,150,43,336,47,138,"NA:E,SA:A",0E7|1E7|2E7|3E7|4E13|5E7|6E7|7E7|8E18|9A20|10A20|11A20|12A20
22,22509,win,586,127,576.66,13,0,0.9572,0,0.885178,99,0,272,251,63,23,153,20,57,"NA:A,SA:A",0A2|1A3|2A2|3A3|4A1|5A1|6A3|7A15|8A15|9A20|10A3|11A20|12A11
23,23305,loss,796,195,203.46,0,12,0.9557,0,0.867422,0,46,323,391,82,16,254,24,66,"NA:E,SA:N",0E1|1E1|2E1|3E2|4E5|5E2|6E5|7E8|8E3|9E12|10E3|11N1|12E3
24,23884,loss,579,131,289.29,0,12,0.9546,0,0.839548,0,27,238,291,50,20,181,28,42,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E2|5E1|6E2|7E4|8E3|9E7|10E2|11N1|12E2
25,25262,timeout,1378,300,942.38,11,2,0.9520,0,0.869627,131,7,616,612,150,50,402,48,139,"NA:N,SA:A",0A1|1A6|2A19|3E3|4A1|5A20|6E4|7A1|8A17|9A6|10A20|11A20|12A20
26,26473,timeout,1211,300,339.31,1,12,0.9497,0,0.872893,15,239,528,566,117,21,354,27,89,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E19|11E20|12A15
27,27419,timeout,946,300,274.46,9,3,0.9479,0,0.906620,179,59,463,333,150,9,166,9,143,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E19|10E20|11N1|12E20
28,28779,timeout,1360,300,177.20,1,12,0.9453,0,0.830568,4,239,637,668,55,13,402,21,47,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E19|11E20|12A4
29,29527,win,748,165,713.48,13,0,0.9439,0,0.796691,146,0,358,308,82,29,186,25,75,"NA:A,SA:A",0A4|1A1|2A16|3A16|4A1|5A1|6A2|7A15|8A10|9A20|10A20|11A20|12A20
30,30174,loss,647,166,214.67,0,13,0.9427,0,0.843861,0,105,260,308,79,16,196,25,76,"NA:E,SA:E",0E5|1E4|2E4|3E5|4E5|5E5|6E9|7E5|8E4|9E16|10E20|11E3|12E20
31,31305,win,1131,259,632.01,13,0,0.9405,0,0.828996,230,0,569,433,129,23,270,20,121,"NA:A,SA:A",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9A16|10A3|11A15|12A16
32,31890,loss,585,137,123.85,0,13,0.9394,0,0.832298,0,215,236,295,54,12,190,22,47,"NA:E,SA:E",0E17|1E18|2E17|3E18|4E18|5E18|6E17|7E18|8E17|9E16|10E19|11E3|12E19
33,33212,timeout,1322,300,951.22,12,1,0.9369,0,0.825588,160,17,610,562,150,48,354,47,136,"NA:N,SA:A",0A1|1A20|2A11|3A2|4A2|5A4|6E17|7A20|8A20|9A20|10A20|11A20|12A20
34,33918,loss,706,168,108.46,0,13,0.9356,0,0.862519,0,177,281,351,74,12,236,21,60,"NA:E,SA:E",0E13|1E13|2E13|3E13|4E13|5E13|6E13|7E13|8E13|9E17|10E20|11E3|12E20
35,34643,loss,725,182,150.75,0,13,0.9342,0,0.815878,0,238,314,345,66,12,206,23,61,"NA:E,SA:E",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E16|11E19|12E3
36,35153,loss,510,126,297.50,0,12,0.9332,0,0.821404,0,33,197,253,60,20,159,28,47,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E6|5E3|6E3|7E4|8E3|9E6|10E2|11N1|12E2
